"","datacollection","condition","tipper_diresppers","tipper_gdmorlcons_re","tipper_closefrend_re","tipper_goodpers_re","tipper_personjudg","pltclideo","gender","yearbirth","countrybir","engexp","ethnicity","parented","beforeres","beforethes","citytown","postalcode","honest_A","faminc","mturkhowm"
"101",1,0,4,4,4,4,4,7,1,1995,188,19,1,4,"0",2,"Eagan","55123",1,"130000",""
"102",1,0,4,3,4,3,3.5,5,2,1994,187,20,6,6,"2",2,"Prior Lake","55372",1,"50,000",""
"103",1,1,4,2,4,2,3,6,2,1993,187,21,1,5,"0",2,"White Bear Lake","55110",1,"180,000",""
"104",1,0,1,1,1,4,1.75,5,2,1992,187,22,0,6,"0",2,"Saint Paul","55104",1,"80000",""
"105",1,1,3,4,3,3,3.25,6,1,1994,187,21,1,6,"0",2,"Saint Paul","55125",1,"130000",""
"106",1,0,1,2,2,3,2,2,2,1994,187,21,1,4,"0",2,"Ellendale","56026",1,"60,000",""
"107",1,0,5,5,5,4,4.75,6,2,1995,187,20,1,5,"0",2,"St. Paul","55105",1,"100,000",""
"108",1,0,2,6,4,4,4,4,2,1993,187,21,2,6,"0 Marketing",2,"Minnetonka","55343",1,"200000",""
"109",1,1,5,3,6,2,4,6,1,1990,187,24,1,4,"1",2,"St. Paul","55104",1,"110000",""
"110",1,1,5,5,6,3,4.75,4,2,1993,128,10,1,6,"0",2,"St. Paul","55117",1,"150000",""
"111",1,1,7,7,7,7,7,7,1,1987,187,28,2,5,"0",2,"Rogers","55374",1,"36000",""
"112",1,1,2,2,6,3,3.25,5,1,1995,187,19,1,5,"0",2,"Saint Paul","55104",1,"250,000",""
"113",1,0,1,3,4,4,3,4,1,1988,187,24,1,4,"1",2,"Little Canada","55117",1,"",""
"114",1,1,5,4,7,5,5.25,6,2,1993,187,22,1,5,"1",2,"St. Paul","55105",1,"$175,000",""
"115",1,0,2,1,1,2,1.5,7,1,1994,187,21,1,4,"0",2,"Coon Rapids","55448",1,"40000",""
"116",1,1,6,5,5,5,5.25,4,2,1995,187,19,1,4,"0",2,"Hutchinson","55350",1,"US $175,000",""
"117",1,1,3,4,4,4,3.75,5,1,1995,187,19,1,6,"0",2,"Waconia","55387",2,"$300,000",""
"118",1,0,2,2,4,3,2.75,5,2,1995,187,19,1,4,"0",2,"St. Paul","55105",1,"700000",""
"119",1,1,3,3,5,3,3.5,5,2,1992,187,22,1,5,"1",2,"St. Paul","55105",1,"120000",""
"120",1,1,3,3,3,2,2.75,7,1,1992,187,22,1,6,"2",2,"St. Paul","55105",1,"500000",""
"121",1,1,3,4,6,5,4.5,4,2,1993,187,21,2,4,"0",2,"Lakeville","55044",1,"$70,000",""
"122",1,0,4,5,4,5,4.5,7,2,1995,187,19,1,5,"1",1,"West Saint Paul","55118",2,"70,000",""
"123",1,0,2,6,7,5,5,4,2,1993,187,21,1,4,"1",2,"Elmhurst","60126",1,"",""
"124",1,1,2,3,6,3,3.5,4,2,1994,187,20,1,5,"0",2,"St. Paul","55104",1,"100000",""
"125",1,0,1,2,2,1,1.5,6,2,1994,187,20,1,4,"0",2,"Hampton","55031",1,"60000",""
"126",1,0,1,2,3,2,2,4,1,1994,187,21,1,4,"1",2,"Sait Paul","55105",1,"285,000+",""
"127",1,1,6,4,7,4,5.25,2,2,1996,187,18,1,5,"1",1,"Saint Paul, Minnesota","55015",2,"$70,000",""
"128",1,1,5,4,5,4,4.5,5,1,1994,187,20,1,5,"1",1,"Woodbury","55129",1,"100,000",""
"129",1,1,4,4,6,4,4.5,6,1,1993,187,21,1,5,"10",2,"Mendota Heights","55120",1,"275,000",""
"130",2,1,4,4,4,4,4,5,1,1984,187,29,3,4,"1",2,"washington","20016",0,"My family's yearl",""
"131",2,0,4,5,7,6,5.5,7,2,1993,187,21,1,4,"7",1,"Washington, DC","20016",1,"",""
"132",2,0,3,2,4,4,3.25,4,2,1995,187,19,1,5,"0",2,"Sag Harbor","11963",1,"190,000",""
"133",2,1,5,3,6,4,4.5,4,2,1993,36,4,2,4,"none",2,"Xi'an","710043",1,"140000",""
"134",2,0,1,3,2,2,2,2,2,1995,187,19,1,6,"0",2,"SAN JOSE","95129",1,"400,000",""
"135",2,0,2,2,3,3,2.5,1,2,1996,187,18,1,6,"0",2,"Washington DC","20016",1,"",""
"136",2,1,6,5,7,6,6,2,1,1996,187,18,3,6,"0",2,"Arlington","22204",1,"$100,000",""
"137",2,1,6,5,7,4,5.5,4,1,1992,187,22,1,6,"3",2,"Washington, DC","20016",1,"$130,000",""
"138",2,1,7,3,6,3,4.75,4,2,1994,187,20,1,5,"1",2,"Sewell","8080",1,"$110,000",""
"139",2,0,2,2,2,3,2.25,4,2,1996,187,18,1,6,"0",2,"Washington, DC","20016",1,"50,000",""
"140",2,0,2,4,4,4,3.5,1,2,1996,187,18,6,5,"0",2,"Los Angeles","91423",1,"N/A",""
"141",2,0,1,1,4,2,2,4,2,1996,187,19,4,4,"0",2,"Jersey City, NJ","7306",1,"150000",""
"142",2,1,7,6,7,5,6.25,4,2,1994,187,20,4,4,"0",2,"Washington","20016",1,"1000000",""
"143",2,0,5,5,4,4,4.5,4,2,1995,86,2,2,5,"2",2,"Washington","20016",1,"150,000",""
"144",2,1,6,6,6,4,5.5,4,2,1995,187,20,1,6,"0",2,"Albany, NY","12303",1,"30,000",""
"145",2,1,2,3,4,4,3.25,4,2,1996,51,14,3,6,"0",2,"Washington DC","20016",1,"Not told.",""
"146",2,1,1,4,4,3,3,4,1,1994,187,20,1,6,"3",2,"Washington","20016",1,"50,000",""
"147",2,1,3,4,5,4,4,4,1,1996,187,19,4,5,"1",2,"Germantown","20841",1,"-",""
"148",2,1,6,4,4,4,4.5,4,2,93,187,21,4,5,"2",2,"Washington DC","20016",1,"",""
"149",2,0,3,3,4,3,3.25,3,1,1993,51,21,3,6,"0",2,"North Andover","1845",1,"48,000",""
"150",2,1,3,3,6,4,4,4,1,20,187,20,3,4,"0",2,"Washington, DC","20007",1,"",""
"151",2,1,3,3,4,3,3.25,3,1,1992,187,22,1,6,"0",2,"Washington","20016",1,"$250,000",""
"152",2,0,3,3,4,4,3.5,1,1,1993,187,21,1,4,"0",2,"Andover","1810",1,"400,000",""
"153",2,0,1,4,4,4,3.25,4,2,1995,187,19,3,5,"0",2,"washington","20016",1,"IDK",""
"154",2,1,1,1,2,1,1.25,3,2,1994,187,20,1,4,"3",2,"Denville","7834",1,"400000",""
"155",2,0,2,3,3,3,2.75,6,2,1994,187,21,1,5,"0",2,"Mayfield,Ohio","44143",1,"260,000",""
"156",2,0,1,2,3,3,2.25,1,2,1992,185,22,1,5,"1",2,"West Chester","19380",1,"n/a",""
"157",2,0,1,2,3,2,2,4,2,1994,136,18,2,5,"2",1,"North Bethesda","20852",1,"300,000",""
"158",2,1,3,4,5,3,3.75,5,2,1995,187,20,1,6,"0",2,"New York City","10013",1,"120000",""
"159",2,1,2,4,6,4,4,5,2,1994,187,20,5,6,"0",2,"Greenwich","6830",1,"$200,000",""
"160",2,0,1,3,4,4,3,4,2,1994,137,3,1,4,"0",2,"Sejny","16500",1,"500,000",""
"161",2,0,2,2,2,2,2,4,2,1994,86,5,2,4,"0",2,"Washington","20016",1,"",""
"162",2,0,1,2,2,2,1.75,6,2,1994,187,20,4,3,"4",2,"Gurnee","60031",1,"200000",""
"163",2,1,5,4,5,2,4,4,1,1994,187,20,1,4,"2",2,"Washington","20016",1,"700000",""
"164",2,0,1,1,2,2,1.5,4,1,1994,74,5,3,5,"0",2,"Washington DC","20016",1,"60,000",""
"165",2,1,5,4,7,6,5.5,4,1,1995,116,15,1,4,"0",2,"Washington DC","20020",1,"300,000",""
"166",2,1,6,4,4,4,4.5,6,1,1993,187,21,1,6,"2",2,"Boston","2458",1,"$36000",""
"167",2,0,1,3,3,3,2.5,3,2,1995,187,19,1,6,"0",2,"Narragansett","2882",1,"$100,000",""
"168",2,0,5,5,6,5,5.25,2,2,1994,187,20,1,4,"0",2,"Washington DC","20016",1,"",""
"169",2,1,5,5,5,2,4.25,5,2,1993,132,18,3,6,"3",2,"Washington","20016",1,"I don't know",""
"170",2,0,2,4,4,4,3.5,5,2,1995,187,20,1,4,"3",2,"Alexandria","22309",1,"100000",""
"171",2,1,5,4,5,4,4.5,4,2,1993,162,14,2,4,"0",2,"Chester","3036",1,"1000000",""
"172",2,1,7,5,6,4,5.5,3,2,1992,187,22,1,6,"2",2,"washington","20016",1,"",""
"173",2,1,5,6,6,6,5.75,4,1,1994,126,20,4,6,"2",2,"Malvern","19355",1,"400,000",""
"174",2,0,1,2,4,4,2.75,5,2,1996,187,18,6,6,"0",2,"Washington","20016",1,"",""
"175",2,1,1,3,4,3,2.75,4,2,1993,24,6,1,5,"2",2,"Washington","20016",1,"100,000",""
"176",2,0,2,5,5,5,4.25,6,1,1993,187,21,1,6,"0",2,"Providence","2906",1,"100000",""
"177",2,0,1,4,4,4,3.25,4,2,1993,79,15,2,4,"0",2,"Monterey Park, Ca","91755",1,"$400,000",""
"178",2,0,3,4,5,5,4.25,2,2,1994,187,20,1,6,"2",2,"Washington DC","20016",1,"33000",""
"179",2,1,6,6,6,3,5.25,4,2,1995,187,19,1,6,"2",2,"washington","20016",1,"N/A",""
"180",2,0,1,3,4,3,2.75,2,1,1991,187,23,1,5,"0",2,"Washington, DC","20016",1,"250,000",""
"181",2,1,6,6,6,5,5.75,2,2,1994,187,20,1,4,"0",2,"Mystic, CT","6355",1,"200,000",""
"182",2,0,1,1,4,4,2.5,3,2,1993,187,21,2,6,"2",2,"Miami","33176",1,"155000",""
"183",2,0,4,4,4,4,4,6,1,1994,78,0,5,6,"0",2,"Mumbai","Outside t",1,"300,000",""
"184",2,1,3,3,4,4,3.5,4,2,1994,36,2,2,4,"2",2,"Guangzhou","510623",1,"300,000",""
"185",2,1,7,7,7,7,7,2,2,1995,36,29,2,4,"2",2,"Washington D.C.","20016",1,"$1,000,000",""
"186",2,1,2,4,4,3,3.25,5,2,1995,61,9,1,6,"0",2,"dc","20016",1,"",""
"187",2,1,6,6,3,5,5,4,1,1996,187,18,6,5,"0",2,"Gaithersburg","20878",1,"300000",""
"188",2,1,4,5,6,4,4.75,1,2,1996,187,17,2,5,"0",2,"Washington, DC","20016",1,"US $150,000",""
"189",2,0,1,4,4,4,3.25,4,1,1994,187,20,1,5,"2",2,"Washington DC","20016",1,"100,000",""
"190",2,1,5,4,4,3,4,4,2,1994,187,20,4,3,"2",2,"Pawtucket","2860",1,"$250,000",""
"191",2,1,1,4,4,1,2.5,4,2,1995,187,19,1,6,"0",2,"Ipswich","1938",1,"$70,000",""
"192",2,0,3,5,6,5,4.75,4,2,1993,86,10,2,5,"4",2,"Washington DC","20016",1,"I dont know",""
"193",2,0,2,4,5,3,3.5,4,2,1996,187,18,6,4,"0",2,"Kailua","96734",1,"600000",""
"194",2,0,2,4,3,3,3,4,1,1994,187,8,2,5,"0",2,"Washington, DC","20016",1,"100,000",""
"195",2,1,2,6,5,5,4.5,6,2,1994,187,20,6,4,"3",2,"Abingdon","21009",1,"20,000 USD",""
"196",2,0,3,2,4,3,3,6,2,1996,187,18,6,6,"0",2,"Boston, MA","1760",1,"60000",""
"197",2,0,4,4,4,4,4,5,1,1994,187,20,1,4,"0",2,"Germantown Maryland","20874",1,"500",""
"198",2,0,4,4,4,4,4,6,1,1994,21,20,3,6,"2",2,"Washington DC","20016",1,"$100,000",""
"199",2,1,7,7,7,5,6.5,4,2,1991,10,3,1,3,"3",1,"Washington DC","20016",2,"80000",""
"200",2,0,1,3,4,4,3,5,2,1993,187,21,1,6,"0",2,"Washington. DC","20007",1,"200,000",""
"201",2,0,3,4,4,4,3.75,4,2,1995,36,19,2,5,"2",2,"Washington","20016",1,"$130,000",""
"202",2,1,7,5,5,5,5.5,7,2,1993,187,21,1,4,"4",2,"Washington, DC","20016",1,"55000",""
"203",2,0,4,4,5,4,4.25,3,1,1995,187,1995,6,6,"5",2,"Jersey City","7302",1,"$120,000",""
"204",2,0,1,4,4,4,3.25,5,1,1981,196,25,2,6,"3",2,"Washington, DC","20018",1,"250000",""
"205",2,1,6,4,6,4,5,2,2,1995,187,19,1,4,"0",2,"Washington, DC","20016",1,"75000",""
"206",2,0,5,5,6,5,5.25,6,1,1994,187,20,1,6,"a couple",2,"Columbus","47203",1,"",""
"207",2,1,5,3,4,3,3.75,6,2,1993,40,20,3,5,"0",2,"Washington DC","20016",1,"100,000",""
"208",2,1,6,4,4,4,4.5,5,1,1994,187,20,1,4,"0",2,"Washington","20016",1,"?",""
"209",2,0,2,3,4,3,3,6,2,1993,187,21,1,5,"0",2,"Washington, DC","20016",1,"150,000",""
"210",2,0,1,1,1,2,1.25,4,1,1994,74,18,3,4,"0",2,"Washigton DC","20016",1,"",""
"211",2,1,4,5,5,4,4.5,4,2,1996,187,18,6,6,"1",2,"Ann Arbor","48103",1,"800000",""
"212",2,1,5,3,4,3,3.75,2,2,1994,187,20,1,6,"5",2,"Westchester NY","10579",1,"900,000",""
"213",2,1,2,4,4,4,3.5,4,2,1995,192,8,2,5,"0",2,"Quy Nhon","82000",1,"15000",""
"214",2,0,1,1,4,2,2,2,2,1995,187,19,1,4,"0",2,"Washington, DC","20016",2,"$500000",""
"215",2,1,2,6,6,6,5,5,2,1995,86,14,2,5,"0",2,"Washington D.C","20016",2,"5000",""
"216",2,0,4,5,4,4,4.25,2,2,20,187,20,3,4,"0",2,"Washington, DC","20016",1,"$150,000",""
"217",2,1,4,4,5,4,4.25,2,2,1995,187,19,6,6,"0",2,"Atlanta","30319",1,"35000",""
"218",2,1,3,4,7,4,4.5,3,2,1994,13,21,6,6,"0",2,"Bethesda","20852",1,"$40,000",""
"219",2,1,1,2,3,2,2,3,2,1994,179,5,1,5,"0",2,"Washington DC","20016",1,"?",""
"220",2,0,3,5,5,4,4.25,2,2,1994,187,20,1,6,"0",2,"West Lafayette","47906",1,"60",""
"221",2,1,1,1,1,1,1,2,2,1995,186,19,4,6,"0",2,"New York","10027",1,"$100,000",""
"222",2,0,2,2,4,2,2.5,NA,1,1992,151,4,NA,5,"",2,"","",1,"80,000",""
"223",2,0,4,4,4,4,4,4,2,1994,36,10,2,4,"0",2,"Washington DC","20016",1,"55,000",""
"224",2,1,7,7,7,7,7,4,1,1994,95,20,1,4,"0",2,"fairfax, va","22003",1,"$90,000",""
"225",2,0,1,2,2,2,1.75,2,2,1993,168,20,1,4,"5",2,"Washington","20016",1,"80,000",""
"226",2,1,5,4,5,2,4,4,2,1993,187,21,1,4,"0",2,"Los Angeles, CA","90048",1,"50,000",""
"227",2,1,3,4,4,4,3.75,2,2,1994,179,10,1,5,"15",2,"Washington DC","20016",1,"",""
"228",2,0,5,5,4,4,4.5,2,2,1994,187,20,1,5,"7",1,"Cleveland,OH","44135",1,"",""
"229",2,0,4,4,4,5,4.25,4,1,1991,65,10,1,5,"2",1,"Washington","20009",1,"",""
"230",2,0,5,6,6,5,5.5,4,1,1994,187,20,1,6,"0",2,"Washington D.C.","20016",1,"250,000",""
"231",2,0,1,1,2,3,1.75,4,2,1987,37,7,3,3,"2",2,"mclean","22102",1,"$800,000",""
"232",2,1,7,3,7,4,5.25,4,1,1994,187,20,1,6,"1",2,"Doylestown","18901",1,"400000",""
"233",2,1,4,4,5,3,4,4,2,1993,187,21,4,5,"4",2,"washington, dc","20016",1,"350,000.00$",""
"234",2,1,2,4,5,4,3.75,4,2,1994,187,20,6,5,"0",2,"Washington","20016",1,"600000",""
"235",2,0,3,5,5,4,4.25,4,1,1965,2,20,1,4,"0",1,"Silver Spring","20901",1,"40,000",""
"236",4,1,1,3,3,3,2.5,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",""
"237",4,0,1,1,3,1,1.5,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",""
"238",4,1,6,3,6,5,5,2,2,1993,187,21,2,4,"40",1,"San Diego","92122",1,"~$30,000 or less","34"
"239",4,0,5,6,6,5,5.5,3,1,1993,187,20,1,4,"1000",2,"East Lansing","48823",1,"72000","700"
"240",4,1,1,5,4,2,3,3,1,1993,187,18,1,4,"500",2,"Moscow","83843",1,"5000","500"
