"","datacollection","condition","htxfair","htxgood","poltclid","gender","yearbirth","countrybir","englishexp","ethnicity","parented","befstudies","citytown","postalcode","honestansw","familyinc","mturkhowm"
"78",1,1,6,2,7,1,1994,78,20,5,6,"1","Ramsey","55303",2,"75,000",""
"79",1,2,2,2,4,2,1993,187,21,2,1,"0","North Minneapolis","55411",1,"$24000",""
"80",1,2,5,6,4,2,1993,187,21,1,4,"0","Minneapolis","55413",1,"20000",""
"81",1,1,3,6,6,1,1994,187,20,1,5,"0","De Pere","54115",1,"200000",""
"82",1,2,1,2,4,1,1993,185,21,2,3,"0","Eden Prairie","55347",1,"3,100,000.00",""
"83",1,1,4,5,4,1,1993,187,21,1,4,"0","st paul","55102",1,"",""
"84",1,1,5,5,5,2,1986,187,28,1,4,"1","Maple Grove","55311",1,"175,000",""
"85",1,2,3,4,4,1,1988,187,24,1,4,"0","Little Canada","55117",1,"",""
"86",1,2,4,5,5,2,1995,187,19,1,6,"1","Saint Paul MN","55104",1,"350,000",""
"87",1,2,3,4,4,1,1993,187,21,1,6,"0","Brewster, MA","2631",1,"$500,000",""
"88",1,1,6,3,6,1,1992,187,22,1,4,"0","Blaine","55449",2,"$125000",""
"89",1,2,2,5,2,1,1995,187,19,1,4,"0","Eden Prairie","55347",1,"250000",""
"90",1,1,3,3,6,1,1995,187,20,1,3,"0","Zumbrota","55992",2,"45,000",""
"91",1,1,4,5,6,2,1994,187,20,1,4,"0","Hampton","55031",1,"60000",""
"92",1,1,4,3,4,1,1993,187,21,1,4,"0","Saint Paul, MN","55105",1,"100000",""
"93",1,2,4,5,2,1,1993,187,21,1,5,"0","St. Paul","55105",2,"75000",""
"94",1,2,3,3,3,2,1994,187,20,1,4,"0","St. Paul","55105",1,"$1000000",""
"95",1,2,5,5,4,2,1993,187,21,1,4,"0","Kenosha","53144",1,"120,000",""
"96",1,2,2,2,7,2,1995,187,19,1,5,"1","West Saint Paul","55118",2,"70,000",""
"97",1,1,5,3,4,2,1994,187,20,1,6,"0","Eden Prairie","55346",2,"175,000",""
"98",1,1,6,2,4,1,1992,187,22,1,6,"0","Long Lake","55356",1,"200,000",""
"99",1,1,4,5,4,1,1994,187,21,1,4,"0","Minneapolis","55417",2,"120,000",""
"100",1,1,4,4,5,1,1994,187,20,1,4,"0","St. Paul","55105",1,"60000",""
"101",1,2,1,1,6,1,1995,187,19,1,6,"5","St. Paul","55105",1,"400000",""
"102",1,1,6,3,6,2,1995,187,20,1,5,"1","St. Paul","55116",2,"250000",""
"103",1,1,4,4,3,2,1992,187,22,1,5,"0","St. Paul","55104",1,"Not sure",""
"104",1,2,4,4,4,2,1994,188,15,3,3,"0","Marshfield","54449",1,"350,000",""
"105",1,1,4,4,4,1,1993,187,21,1,5,"0","Glenview, IL","60026",1,"",""
"106",1,1,4,5,5,2,1994,187,20,6,6,"2","Prior Lake","55372",1,"50,000",""
"107",1,1,6,2,7,1,1994,187,21,1,4,"0","Coon Rapids","55448",1,"40000",""
"108",1,2,4,5,4,2,1994,187,21,1,5,"1","Bloomington","55438",1,"?",""
"109",1,2,2,3,6,2,1992,187,22,1,4,"0","St. Paul","55105",1,"$700,000",""
"110",1,1,6,1,6,2,1994,187,20,1,5,"0","St. Paul","55105",2,"280000",""
"111",1,2,3,5,4,1,1995,187,19,1,5,"0","St. Paul","55105",1,"200000",""
"112",1,1,5,3,6,2,1993,187,22,1,5,"1","St. Paul","55105",1,"$175,000",""
"113",1,2,4,4,4,1,1992,187,22,1,4,"0","Lakeland","55043",2,"150,000",""
"114",1,2,3,5,6,2,1994,187,20,1,5,"0","St. Paul","55104",2,"",""
"115",1,2,6,4,4,1,1994,187,20,1,4,"0","st.paul","55104",1,"250,000",""
"116",1,2,1,3,7,1,1987,187,28,2,5,"0","Rogers","55374",1,"36000",""
"117",1,2,6,7,1,2,1985,187,29,1,6,"2","Saint Paul","55105",1,"148000",""
"118",1,1,3,4,2,2,1996,187,18,1,5,"1","Saint Paul, Minnesota","55015",2,"$70,000",""
"119",1,1,4,4,4,2,1994,187,20,1,6,"0","Eagan","55123",1,"90,000",""
"120",1,2,5,5,5,2,1994,187,20,1,4,"0","Andover","55304",1,"$250000",""
"121",1,2,3,1,7,1,1995,187,19,1,4,"0","eagan","55123",1,"130000",""
"122",1,2,4,2,4,2,1993,128,10,1,6,"0","St. Paul","55117",1,"150000",""
"123",1,2,3,5,4,2,1993,187,21,2,4,"0","Lakeville","55044",1,"$70,000",""
"124",1,2,4,4,5,1,1994,187,20,1,5,"2","St. Paul","55104",1,"150000",""
"125",1,2,2,2,6,2,1994,187,20,1,5,"0","Eagan","55122",1,"200,000+",""
"126",1,2,6,7,4,2,1994,187,20,1,6,"0","Woodbury","55125",1,"100,000",""
"127",1,1,5,6,5,1,1994,187,21,1,4,"1","Stillwater","55082",1,"$120,000",""
"128",1,1,4,4,5,1,1992,187,22,1,4,"0","St. Paul","",1,"",""
"129",1,2,1,1,7,1,1995,187,20,3,6,"0","Woodbury","55129",2,"180,000",""
"130",2,2,5,5,5,1,1994,187,20,1,4,"0","Germantown Maryland","20874",1,"150000",""
"131",2,1,5,4,6,1,1994,21,20,3,6,"2","Washington DC","20016",1,"$10000",""
"132",2,1,5,4,5,2,1995,187,20,1,6,"0","New York City","10013",1,"$200,0",""
"133",2,2,4,3,4,1,1991,65,10,1,5,"2","Washington","20009",1,"100000",""
"134",2,1,4,4,4,2,1994,187,20,6,5,"0","washington","20016",1,"40,000",""
"135",2,2,5,5,1,2,1996,187,17,2,5,"0","Washington DC","20016",1,"100,00",""
"136",2,2,3,2,4,1,1994,187,8,2,5,"0","Washington, DC","20016",1,"20,000",""
"137",2,2,4,4,4,2,1994,86,5,2,4,"0","Washington","20016",2,"$50000",""
"138",2,2,4,5,3,2,1994,13,21,6,6,"0","bethesda","20852",1,"300,00",""
"139",2,1,5,5,2,2,1994,187,20,1,6,"2","Washington DC","20016",1,"N/A",""
"140",2,1,7,1,7,2,1993,187,21,1,4,"6","Washington, DC","20016",1,"300,00",""
"141",2,1,6,5,2,2,1995,187,19,1,4,"0","Washington, DC","20016",1,"",""
"142",2,2,1,1,4,1,1994,74,18,3,4,"0","Washington DC","20016",1,"800000",""
"143",2,1,5,3,6,2,1995,187,20,1,4,"3","Alexandria","22309",1,"$90,00",""
"144",2,2,4,5,4,2,1993,187,21,4,5,"4","washigton, DC","20016",1,"155000",""
"145",2,1,2,3,4,2,1993,86,10,2,5,"3","Washington DC","20016",1,"600000",""
"146",2,1,4,4,4,1,1996,187,19,4,5,"1","Germantown","20841",1,"",""
"147",2,1,2,2,1,2,1992,185,22,1,5,"1","West Chester","19380",1,"900,00",""
"148",2,1,6,2,2,2,1994,179,10,1,0,"15","Washington DC","20016",1,"",""
"149",2,1,4,4,2,1,1996,187,18,3,6,"0","Arlington","22204",1,"$130,0",""
"150",2,2,3,3,6,1,1994,187,20,1,6,"a couple","Columbus","47203",1,"none o",""
"151",2,1,3,3,6,2,1994,187,20,5,6,"0","Greenwich","6830",1,"500,00",""
"152",2,2,3,3,6,1,1993,187,21,1,6,"2","Boston","2458",1,"?",""
"153",2,1,5,3,4,1,1996,187,18,6,5,"0","Gaithersburg","20878",1,"US $15",""
"154",2,2,3,4,3,1,1995,187,20,6,6,"5","Jersey City","7302",1,"$250,0",""
"155",2,1,5,4,4,2,1995,192,8,2,5,"0","Quy Nhon","82000",1,"",""
"156",2,1,5,3,4,1,1994,126,20,4,6,"2","Malvern","19355",1,"",""
"157",2,2,4,3,5,1,NA,0,0,2,5,"","","",1,"",""
"158",2,2,4,4,4,2,1993,187,21,4,5,"2","Washington DC","20016",2,"48,000",""
"159",2,2,2,4,3,2,1994,179,5,1,5,"0","Washington DC","20016",2,"60",""
"160",2,1,4,4,4,2,1993,162,14,2,4,"0","Chester","3036",1,"50,000",""
"161",2,2,5,5,4,2,1993,36,4,2,4,"none","xi'an","710043",1,"400,00",""
"162",2,1,4,6,1,1,1339,187,21,1,4,"0","Andover","1810",1,"250000",""
"163",2,2,3,4,4,2,1996,187,18,6,6,"1","Ann Arbor","48103",1,"n/a",""
"164",2,2,4,4,3,2,1992,187,22,1,6,"2","washington","20016",1,"400,00",""
"165",2,2,5,5,2,2,1994,187,20,1,4,"0","Mystic, CT","6355",1,"350,00",""
"166",2,2,5,4,2,2,1995,36,20,2,4,"2","Washington D.C.","20016",1,"190,00",""
"167",2,2,6,6,1,2,1996,187,18,6,5,"1","Los Angeles","91423",1,"50000",""
"168",2,1,5,5,2,2,1995,187,19,4,6,"0","New York","10027",1,"$100,0",""
"169",2,1,4,5,4,1,1994,95,20,1,4,"0","fairfax, virginia","22003",1,"80,000",""
"170",2,1,4,5,4,2,1993,79,15,2,4,"0","Monterey Park, Ca","91755",1,"33000",""
"171",2,2,4,6,4,2,1996,187,18,1,6,"0","Washington, DC","20016",1,"$60,00",""
"172",2,1,5,3,4,2,1995,36,19,2,5,"2","Washington","20016",1,"",""
"173",2,2,4,4,6,2,1993,40,21,3,5,"0","Washington DC","20016",1,"?",""
"174",2,1,4,3,2,2,1995,187,19,6,6,"0","Atlanta","30319",1,"70,000",""
"175",2,2,3,2,4,2,1996,187,18,6,4,"0","Kailua","96734",1,"",""
"176",2,1,5,5,4,2,1995,187,19,3,5,"0","Washington","20016",1,"100,00",""
"177",2,2,4,4,6,2,1994,187,21,1,5,"0","Mayfield, Ohio","44143",1,"150,00",""
"178",2,1,3,3,6,1,1993,187,21,1,6,"0","Providence","2906",1,"250,00",""
"179",2,1,3,4,2,2,1995,187,19,1,6,"0","SAN JOSE","95129",1,"300000",""
"180",2,2,3,2,5,2,1993,187,21,1,6,"0","Washington, DC","20007",NA,"Not kn",""
"181",2,1,6,5,3,2,1994,187,20,1,4,"3","Denville","7834",1,"260,00",""
"182",2,2,4,5,2,2,1994,187,20,1,5,"0","Washington DC","20016",1,"55,000",""
"183",2,1,6,4,4,2,1993,24,6,1,5,"2","washington","20016",1,"",""
"184",2,1,7,5,4,2,1994,36,2,2,4,"2","Guangzhou","510623",1,"$1,000",""
"185",2,2,4,3,4,1,1995,187,20,3,4,"0","Washington, DC","20007",1,"55000",""
"186",2,1,3,2,4,2,1994,136,18,2,5,"2","North Bethesda","20852",1,"130000",""
"187",2,2,4,5,2,2,1994,187,20,1,6,"0","West Lafayette","47906",1,"$100,0",""
"188",2,1,3,4,3,1,1992,187,22,1,6,"3","Washington, DC","20016",1,"$250,0",""
"189",2,2,4,5,4,2,1996,187,19,4,4,"0","Jersey City, NJ","7306",1,"$100,0",""
"190",2,1,4,5,4,1,1994,74,5,3,5,"0","Washington DC","20016",1,"35000",""
"191",2,2,2,3,5,2,1996,187,18,6,6,"","","",1,"",""
"192",2,1,4,4,4,2,1994,187,20,1,5,"1","Sewell","8080",1,"50,000",""
"193",2,1,4,5,4,2,1996,51,14,3,6,"0","Washington DC","20016",1,"50,000",""
"194",2,2,2,4,6,2,1994,187,20,4,3,"4","Gurnee","60031",2,"5000",""
"195",2,2,5,6,2,2,1993,168,20,1,4,"5","Washington","20016",1,"100000",""
"196",2,2,3,3,4,1,1965,2,20,1,4,"0","Silver Spring","20901",1,"100,00",""
"197",2,2,4,4,4,2,1994,187,20,4,3,"2","Pawtucket","2860",1,"110000",""
"198",2,1,3,5,4,2,1994,187,20,4,4,"0","Washington","20016",1,"150,00",""
"199",2,2,7,7,2,2,1995,187,19,1,4,"0","Washington, DC","20016",1,"200000",""
"200",2,1,4,4,4,2,1994,36,10,2,4,"0","Washington DC","20016",1,"I don'",""
"201",2,2,5,3,2,1,1991,187,23,1,5,"0","Washington, DC","20016",1,"200,00",""
"202",2,2,1,1,5,1,1985,187,29,3,4,"","washington","20016",1,"200,00",""
"203",2,1,4,4,4,2,1995,86,2,2,5,"1","Wahington","20016",2,"80000",""
"204",2,1,5,2,5,1,1994,187,20,1,4,"0","washington","20016",1,"400000",""
"205",2,2,6,5,NA,2,1991,151,4,0,5,"","","22204",1,"",""
"206",2,2,3,3,3,2,1993,187,21,2,6,"2","Miami","33176",1,"600,00",""
"207",2,2,4,0,4,1,1994,187,20,1,5,"2","Washington DC","20016",1,"",""
"208",2,1,6,4,6,2,1994,187,20,6,4,"3","Abingdon","21009",1,"N/A",""
"209",2,1,5,5,2,2,1994,187,20,1,6,"5","Westchester NY","10579",1,"300,00",""
"210",2,1,7,4,4,2,1993,187,21,1,4,"0","Los Angeles, CA","90048",1,"",""
"211",2,1,5,4,6,2,1995,61,9,1,0,"0","dc","20016",2,"130000",""
"212",2,2,5,4,3,1,1993,51,21,3,6,"0","North Andover","1845",1,"$130,0",""
"213",2,1,3,5,2,2,1994,187,20,3,4,"0","Washington, DC","20016",1,"60,000",""
"214",2,2,4,5,2,2,1994,187,20,1,5,"6","Cleveland,OH","44135",1,"100,00",""
"215",2,1,5,2,4,2,1995,187,19,1,5,"0","Sag Harbor","11963",1,"",""
"216",2,1,1,4,7,2,1993,187,21,1,4,"4","Washington, DC","20016",1,"$120,0",""
"217",2,2,3,4,5,2,1995,86,14,2,5,"0","Washington. DC","20016",1,"700000",""
"218",2,1,3,5,5,2,1993,132,18,3,6,"4","Washington","20016",1,"100000",""
"219",2,1,5,5,4,1,1994,187,20,1,6,"1","Doylestown","18901",1,"$400,0",""
"220",2,1,4,5,6,2,1996,187,18,6,6,"0","Boston, MA","1760",1,"500,00",""
"221",2,2,3,4,4,2,1995,187,20,1,6,"0","Albany, NY","12303",1,"200,00",""
"222",2,2,4,5,4,2,1994,137,3,1,4,"0","Sejny","16500",1,"16000",""
"223",2,1,6,4,4,1,1995,116,15,1,4,"0","Washington DC","20020",1,"$36000",""
"224",2,1,4,4,4,2,1995,187,19,1,6,"0","Ipswich","1938",1,"i dont",""
"225",2,2,5,5,4,2,1993,10,3,1,3,"3","Washington DC","20016",1,"30,000",""
"226",2,1,4,4,4,1,1994,187,20,1,4,"2","Washington","20016",1,"$150,0",""
"227",2,2,6,4,3,2,1995,187,19,1,6,"0","Narragansett","2882",1,"80,000",""
"228",2,2,5,6,4,2,1995,187,19,1,6,"2","washington","20016",1,"250,00",""
"229",2,2,4,5,1,2,1996,187,18,1,6,"0","Washington DC","20016",1,"$100,0",""
"230",2,1,4,3,3,1,1992,187,22,1,6,"0","Washington","20016",1,"400,00",""
"231",2,2,1,1,6,2,1993,187,21,1,5,"0","Washington, DC","20016",1,"",""
"232",2,2,4,5,6,1,1994,78,0,5,6,"0","Mumbai","Outsid",1,"300,00",""
"233",2,2,4,4,4,1,1994,187,20,1,6,"3","Washington","20016",1,"-",""
"234",2,2,4,4,5,1,1981,196,25,2,6,"3","Washington, DC","20018",1,"75000",""
"235",2,2,3,3,4,2,1987,37,8,3,3,"2","mclean","22102",1,"400000",""
"236",4,2,4,4,1,2,1989,187,25,1,4,"4000","Stanton","90680",1,"19000",""
"237",4,1,7,1,7,1,1977,187,37,1,5,"100","Ocala","34474",1,"82000",""
"238",4,2,4,2,4,1,1993,187,21,1,4,"150","St. Louis","63131",1,"75000",""
"239",4,1,7,1,6,1,1977,187,37,1,3,"1000","Idaho Falls","83404",1,"19000",""
"240",4,2,1,1,4,2,1970,187,44,4,4,"600","Klamath Falls","97603",1,"24000",""
"241",4,1,3,5,2,1,1989,187,25,1,5,"30","Garland","75043",1,"150000",""
"242",4,2,4,6,4,2,1991,187,23,1,5,"0","Durham","27713",1,"0",""
"243",4,1,2,6,1,1,1983,187,31,1,5,"1000","Troy","48083",1,"60000",""
"244",4,2,3,4,4,2,1987,187,27,1,3,"0","Glendale","85306",1,"35000",""
"245",4,2,2,4,1,1,1973,187,41,4,5,"30000","kansas city, mo","64110",1,"25000",""
"246",4,1,6,3,5,2,1974,187,40,2,5,"200","san diego","92126",1,"99000",""
"247",4,2,3,3,2,2,1970,187,44,1,2,"500","Ranger, Texas","76470",1,"5000",""
"248",4,1,6,3,3,1,1958,187,56,1,5,"100","Palm Bay","32907",1,"30000",""
"249",4,1,5,6,4,1,1970,187,44,2,6,"30","Foster City","94404",1,"80000",""
"250",4,2,1,4,2,2,1994,187,20,2,5,"850","San Jose","95121",1,"93000",""
"251",4,2,4,3,4,2,1991,187,23,1,3,"0","McAlisterville","17049",1,"40000",""
"252",4,1,4,5,3,1,1983,187,31,2,6,"200","Irvine","92612",1,"150000",""
"253",4,1,4,4,1,2,1970,187,44,1,6,"750","Evanston, Wyoming","82930",1,"25000",""
"254",4,2,4,7,1,2,1991,140,13,2,5,"2","Los Angeles","90007",1,"80000",""
"255",4,2,3,5,5,1,1991,187,23,1,4,"5","Shreveport","71107",1,"150000",""
"256",4,1,2,2,2,1,1977,187,37,1,4,"500","Nashville","37210",1,"80000",""
"257",4,2,3,4,4,1,1992,192,18,2,1,"51","Lawrenceville","30044",1,"35000",""
"258",4,2,6,4,1,1,1974,187,40,1,5,"50","pittsburgh","15146",1,"35000",""
"259",4,1,1,1,4,2,1967,136,37,2,6,"100","Weed","96094",1,"20000",""
"260",4,2,5,5,2,1,1971,187,43,1,3,"50","Mission Viejo","92692",1,"30000",""
"261",4,2,2,2,2,2,1977,187,37,1,5,"600","Omaha","68164",1,"90000",""
"262",4,2,4,3,2,1,1978,187,39,1,5,"300","Newnan","30263",1,"75000",""
"263",4,1,4,5,1,1,1977,187,37,1,4,"8000","St. Louis","63111",1,"14000",""
"264",4,2,1,1,4,2,1977,187,37,1,4,"1200","lafollette","37766",1,"10000",""
"265",4,2,4,3,7,2,1987,187,27,1,5,"0","Jacksonville","32256",1,"55000",""
"266",4,1,4,3,6,2,1967,187,47,1,5,"2500","Glendale","85302",1,"74000",""
"267",4,1,6,3,7,1,1994,187,20,1,4,"300","Midland, MI","48640",1,"145000",""
"268",4,1,5,3,4,1,1976,187,38,1,5,"50","St. Paul","55116",1,"140000",""
"269",4,1,6,1,2,2,1966,187,48,1,5,"0","aurora","85383",1,"85000",""
"270",4,1,3,6,3,1,1987,187,27,1,4,"20","Bertram, Tx","78605",1,"40000",""
"271",4,1,6,3,4,1,1972,187,42,1,6,"20","Tampa","33617",1,"1200",""
"272",4,2,4,4,5,2,1976,187,38,1,5,"500","ATLANTA GA","30004",1,"75000",""
"273",4,2,4,4,2,2,1980,187,33,1,3,"1000","cypress","90630",1,"39000",""
"274",4,2,6,4,4,1,1987,187,27,1,6,"1000","napa","94558",2,"50000",""
"275",4,2,1,2,4,1,1966,187,48,1,4,"100","el paso","79912",1,"28000",""
"276",4,2,1,4,1,2,1986,187,25,6,4,"2","Torrence","83605",1,"23000",""
"277",4,2,6,7,2,1,1989,187,25,1,6,"300","Stonybrook","11792",1,"85000",""
"278",4,1,5,4,4,2,1969,89,44,4,5,"130","KANSAS","66102",1,"30000",""
"279",4,1,5,3,4,2,1980,78,33,5,6,"50","Detroit","48098",1,"80000",""
"280",4,2,4,3,2,1,1979,187,33,1,3,"60","Greeley, CO","80634",1,"26000",""
"281",4,1,3,6,2,2,1989,187,25,1,3,"2","Grand Junction","81503",1,"25000",""
"282",4,1,5,5,4,2,1984,187,30,2,4,"500","Phoenix","85017",1,"59000",""
"283",4,1,7,5,3,2,1968,187,46,1,5,"2000","Pembroke Pines","33028",1,"39900",""
"284",4,2,1,4,3,2,1989,187,24,2,5,"1000","New Orleans","70131",1,"47000",""
"285",4,2,4,3,3,2,1989,187,25,1,5,"4000","Nashville","37212",1,"27000",""
"286",4,1,5,4,3,2,1994,187,20,1,4,"15","Shreveport","71105",1,"65000",""
"287",4,2,4,5,4,1,1982,187,32,1,3,"3500","San Diego","91945",1,"75000",""
"288",4,2,5,6,1,2,1986,187,27,1,5,"10000","Danville","40422",1,"",""
"289",4,1,4,4,4,2,1986,187,27,1,4,"250","leesburg","20176",1,"$11000",""
"290",4,1,6,3,4,1,1985,187,29,1,3,"5000","Chico","95928",1,"29000",""
"291",4,2,2,3,2,1,1967,187,47,1,5,"1500","Poughkeepsie","12603",1,"20000",""
"292",4,1,5,3,4,2,1992,187,22,1,3,"100","Florence","97439",1,"45000",""
"293",4,2,1,1,4,2,1979,187,35,1,5,"200","Tulsa","74135",1,"36000",""
"294",4,1,2,3,1,2,1986,187,28,1,3,"8000","Rochester, NH","3868",1,"58000",""
"295",4,1,1,4,4,1,1989,187,25,4,4,"5","miami","32154",1,"35000",""
"296",4,1,4,6,4,1,1988,187,26,4,5,"34","Saint Louis","63135",1,"15000",""
