"","Gender","Treatment","Dice_report","Report_time","Happy","Loving","Tired","Calm","Gloomy","Fed_up","Sad","Content","The.ratio.between.the.dice.roll.and.the.possible.reward.is...","What.is.the.chance.that.you.will.get.the.reward.","My.dice.role.was.fully.anonymous.only.I.could.know.what.I.rolled.","Several.students.will.receive.a.monetary.reward.for.the.dice.under.cup.game.","Age","Native.language.dutch","Nationality.dutch","Education","Lively","Peppy","Caring","Drowsy","Nervous","Jittery","Grouchy"
"29",0,1,3,6.215,1,1,4,0,0,0,0,2,"The reward (in euro) is two times the outcome of the dice roll.",100,"Do not believe","Do not believe",23,1,1,3,1,1,1,2,0,0,1
"30",0,1,1,3.637,2,1,2,2,1,1,1,2,"The reward (in euro) is two times the outcome of the dice roll.",20,"Strongly believe","Neutral",21,1,1,2,1,1,1,1,2,1,1
"31",0,1,3,5.582,4,4,0,4,0,0,0,4,"The reward (in euro) is two times the outcome of the dice roll.",10,"Strongly believe","Do not believe",19,1,1,2,2,2,4,1,0,0,0
"32",0,1,2,4.88,2,2,1,1,2,2,4,0,"The reward (in euro) is two times the outcome of the dice roll.",10,"Strongly do not believe","Strongly believe",18,1,1,2,2,1,2,1,2,4,2
"33",0,0,2,9.658,1,1,4,4,0,4,4,1,"The reward (in euro) is two times the outcome of the dice roll.",50,"Strongly believe","Do not believe",21,1,1,3,1,1,1,4,0,0,2
"34",1,0,1,8.062,1,2,0,4,2,4,2,0,"The reward (in euro) is two times the outcome of the dice roll.",1,"Strongly believe","Believe",19,1,1,2,0,1,4,0,0,0,2
"35",0,0,5,12.69,2,4,2,4,2,0,1,2,"The reward (in euro) is two times the outcome of the dice roll.",5,"Strongly believe","Believe",17,1,1,2,2,2,4,4,1,0,0
"36",1,0,4,8.504,4,4,1,4,0,2,0,4,"The reward (in euro) is two times the outcome of the dice roll.",50,"Strongly believe","Neutral",18,1,NA,2,2,1,4,2,0,0,2
"37",0,0,6,8.533,1,2,2,2,0,2,2,1,"The reward (in euro) is two times the outcome of the dice roll.",1,"Strongly believe","Do not believe",18,1,1,2,1,1,1,2,1,0,2
"38",1,0,6,25.684,2,2,1,4,0,0,0,2,"The reward (in euro) is two times the outcome of the dice roll.",3,"Believe","Believe",19,1,1,2,2,2,2,1,0,0,0
"39",0,1,1,5.621,2,4,1,0,2,0,2,2,"The reward (in euro) is two times the outcome of the dice roll.",1,"Strongly believe","Believe",18,1,1,2,2,4,4,2,0,0,0
"40",0,1,6,3.379,4,4,4,2,0,0,0,4,"The reward (in euro) is equal to the outcome of the dice roll.",3,"Strongly believe","Strongly believe",18,1,1,2,2,2,4,4,1,0,0
"41",0,0,2,30.239,4,4,4,1,0,2,1,2,"The reward (in euro) is two times the outcome of the dice roll.",17,"Neutral","Do not believe",19,1,1,2,2,1,4,2,2,2,2
"42",0,0,2,41.424,2,4,2,2,1,1,2,1,"The reward (in euro) is two times the outcome of the dice roll.",31,"Believe","Do not believe",21,1,1,3,4,2,4,2,0,2,2
"43",0,0,4,9.675,4,4,2,2,0,1,0,4,"The reward (in euro) is two times the outcome of the dice roll.",2,"Strongly believe","Believe",18,1,1,2,4,4,4,2,0,1,0
"44",0,1,1,4.85,4,4,4,1,0,2,1,2,"The reward (in euro) is two times the outcome of the dice roll.",11,"Strongly believe","Do not believe",19,1,1,2,4,4,4,2,0,2,1
"45",0,0,6,7.33,4,4,4,2,1,1,1,2,"The reward (in euro) is two times the outcome of the dice roll.",15,"Strongly believe","Do not believe",19,1,1,2,4,2,4,2,0,1,1
"46",0,0,4,7.32,2,4,4,4,0,1,1,2,"The reward (in euro) is two times the outcome of the dice roll.",50,"Believe","Neutral",20,1,1,2,1,1,4,4,0,1,1
"47",0,0,6,6.538,4,2,2,4,0,0,0,2,"The reward (in euro) is two times the outcome of the dice roll.",1,"Strongly believe","Believe",19,1,1,2,2,4,4,2,1,0,0
"48",1,1,1,3.512,1,0,2,2,1,2,1,1,"The reward (in euro) is two times the outcome of the dice roll.",5,"Strongly believe","Believe",20,1,1,2,1,1,0,4,0,0,2
"49",0,0,5,10.997,4,4,2,4,0,0,0,4,"The reward (in euro) is two times the outcome of the dice roll.",10,"Strongly believe","Strongly believe",18,1,1,2,4,4,4,1,0,0,1
"50",0,0,3,6.982,2,2,4,2,2,2,1,1,"The reward (in euro) is two times the outcome of the dice roll.",30,"Strongly believe","Neutral",18,1,1,2,1,1,2,4,1,1,2
"51",1,1,6,5.612,4,2,0,4,1,4,1,2,"The reward (in euro) is two times the outcome of the dice roll.",1,"Strongly believe","Strongly do not believe",22,1,1,2,2,2,2,1,0,0,0
"52",1,0,2,8.689,1,1,2,4,1,1,1,1,"The reward (in euro) is two times the outcome of the dice roll.",0,"Strongly believe","Strongly do not believe",22,1,1,3,0,0,1,4,0,0,2
"53",0,0,3,9.352,4,4,4,2,1,2,0,2,"The reward (in euro) is two times the outcome of the dice roll.",100,"Strongly believe","Neutral",20,1,1,2,2,2,4,4,1,0,0
"54",0,0,4,7.425,2,1,2,1,0,2,2,1,"The reward (in euro) is two times the outcome of the dice roll.",3,"Neutral","Do not believe",20,1,1,2,1,1,4,1,2,2,1
"55",0,0,2,11.826,2,2,1,2,2,2,1,2,"The reward (in euro) is two times the outcome of the dice roll.",19,"Strongly believe","Believe",20,1,1,2,1,2,2,4,0,0,0
"56",0,0,5,6.932,2,2,2,2,0,1,2,2,"The reward (in euro) is two times the outcome of the dice roll.",5,"Strongly believe","Do not believe",18,1,1,2,1,1,2,4,0,0,2
"57",0,1,1,5.598,2,2,1,1,1,1,1,4,"The reward (in euro) is two times the outcome of the dice roll.",15,"Strongly believe","Neutral",18,1,1,2,2,2,2,2,2,1,0
"58",0,1,1,5.385,4,4,2,2,1,2,1,2,"The reward (in euro) is two times the outcome of the dice roll.",3,"Strongly believe","Neutral",18,1,1,2,2,2,4,2,1,1,2
"59",0,0,4,17.197,2,2,4,4,1,2,0,2,"The reward (in euro) is two times the outcome of the dice roll.",1,"Neutral","Neutral",20,1,1,2,1,1,2,4,0,0,1
"60",0,1,5,4.507,4,2,2,2,0,0,1,4,"The reward (in euro) is two times the outcome of the dice roll.",1,"Strongly believe","Do not believe",18,1,1,2,2,1,2,4,1,1,0
"61",0,1,4,6.783,2,4,4,4,2,2,2,2,"The reward (in euro) is two times the outcome of the dice roll.",6,"Strongly believe","Believe",17,1,1,2,1,1,4,2,1,1,2
"62",0,0,4,7.069,2,2,2,2,1,1,1,2,"The reward (in euro) is two times the outcome of the dice roll.",15,"Believe","Neutral",19,1,1,2,2,1,2,2,0,1,1
"63",0,0,5,2.058,2,4,4,2,1,0,2,2,"The reward (in euro) is two times the outcome of the dice roll.",10,"Strongly believe","Neutral",19,1,1,2,2,2,2,1,0,0,1
"64",0,0,5,19.774,2,1,2,4,0,1,1,2,"The reward (in euro) is two times the outcome of the dice roll.",25,"Neutral","Believe",18,1,1,2,2,2,1,1,1,1,0
"65",1,0,6,7.081,2,2,1,1,1,0,1,2,"The reward (in euro) is two times the outcome of the dice roll.",0,"Neutral","Strongly do not believe",19,1,1,2,2,2,2,1,1,0,1
"66",0,1,2,4.332,0,0,1,4,0,0,0,1,"The reward (in euro) is two times the outcome of the dice roll.",2,"Strongly believe","Neutral",18,1,1,2,0,0,0,1,0,0,0
"67",0,0,2,6.475,4,4,2,2,0,0,1,4,"The reward (in euro) is two times the outcome of the dice roll.",51,"Do not believe","Believe",19,1,1,2,4,2,4,1,1,2,1
"68",0,0,3,18.063,2,2,2,0,1,1,2,2,"The reward (in euro) is equal to the outcome of the dice roll.",51,"Believe","Do not believe",21,1,1,3,2,2,4,2,2,2,2
"69",0,0,5,6.34,0,2,2,1,4,4,2,0,"The reward (in euro) is two times the outcome of the dice roll.",20,"Believe","Do not believe",24,1,1,3,0,0,4,2,2,2,2
"70",0,1,4,5.23,2,4,4,1,1,1,2,1,"The reward (in euro) is equal to the outcome of the dice roll.",18,"Strongly believe","Do not believe",18,1,1,2,1,1,4,2,2,2,2
"71",0,1,2,3.674,4,4,1,4,0,0,2,4,"The reward (in euro) is two times the outcome of the dice roll.",5,"Neutral","Strongly do not believe",19,1,1,2,2,4,4,1,0,0,0
"72",0,1,2,3.514,2,2,4,2,1,1,0,2,"The reward (in euro) is two times the outcome of the dice roll.",50,"Strongly believe","Do not believe",19,1,1,2,2,1,4,2,0,1,1
"73",0,0,3,6.135,2,4,4,2,2,2,2,0,"The reward (in euro) is two times the outcome of the dice roll.",1,"Strongly believe","Strongly do not believe",19,1,1,2,1,1,4,4,0,0,2
"74",1,0,4,6.512,4,2,2,2,1,1,1,2,"The reward (in euro) is two times the outcome of the dice roll.",0,"Strongly believe","Strongly do not believe",18,1,1,2,2,2,4,2,0,0,0
"75",1,0,5,19.68,4,2,1,4,0,0,0,4,"The reward (in euro) is two times the outcome of the dice roll.",100,"Believe","Strongly do not believe",19,1,1,2,2,2,2,1,0,1,0
"76",0,0,6,7.55,1,2,1,2,0,0,1,2,"The reward (in euro) is two times the outcome of the dice roll.",15,"Strongly believe","Believe",18,1,1,2,2,2,4,1,0,0,0
"77",0,1,5,6.366,2,1,1,4,0,1,1,2,"The reward (in euro) is equal to the outcome of the dice roll.",60,"Strongly believe","Believe",20,1,1,5,2,2,4,2,0,0,0
"78",0,1,4,1.495,2,2,2,0,0,1,2,1,"The reward (in euro) is two times the outcome of the dice roll.",10,"Strongly believe","Strongly do not believe",21,1,1,2,2,2,4,2,0,2,2
"79",0,1,2,3.955,4,4,2,1,0,1,0,2,"The reward (in euro) is equal to the outcome of the dice roll.",17,"Believe","Neutral",19,1,1,9,4,4,4,2,0,0,0
"81",0,1,5,5.557,1,2,2,1,2,2,1,1,"The reward (in euro) is two times the outcome of the dice roll.",50,"Believe","Neutral",19,1,1,2,2,1,2,1,2,2,2
"82",0,1,2,5.108,2,4,0,1,2,2,2,1,"The reward (in euro) is two times the outcome of the dice roll.",19,"Strongly believe","Neutral",17,1,1,2,2,2,4,1,2,2,1
"83",0,0,6,2.473,2,4,2,4,1,2,1,2,"The reward (in euro) is two times the outcome of the dice roll.",1,"Strongly believe","Believe",22,1,1,2,2,2,4,2,0,0,1
"84",0,0,1,6.753,4,4,2,2,1,2,1,2,"The reward (in euro) is two times the outcome of the dice roll.",20,"Believe","Do not believe",19,1,1,2,4,2,4,2,2,2,2
"85",0,1,2,5.325,4,4,1,0,0,0,1,2,"The reward (in euro) is two times the outcome of the dice roll.",6,"Strongly believe","Believe",19,1,1,2,4,2,4,1,0,1,2
"86",1,1,3,4.822,1,1,2,4,2,4,2,1,"The reward (in euro) is two times the outcome of the dice roll.",100,"Strongly believe","Neutral",20,1,1,2,1,1,4,2,0,1,2
"87",0,0,6,5.509,1,1,2,4,2,2,2,2,"The reward (in euro) is two times the outcome of the dice roll.",100,"Strongly believe","Strongly do not believe",18,1,1,2,1,2,4,2,1,0,0
"88",1,0,2,6.84,2,4,4,4,0,0,0,4,"The reward (in euro) is two times the outcome of the dice roll.",0,"Neutral","Neutral",23,1,1,2,1,1,2,2,0,0,0
"89",1,0,5,8.119,4,4,2,4,1,2,2,2,"The reward (in euro) is two times the outcome of the dice roll.",0,"Strongly believe","Strongly do not believe",30,1,1,3,2,2,4,2,0,0,0
"90",0,0,4,10.784,2,2,2,2,1,1,1,2,"The reward (in euro) is two times the outcome of the dice roll.",16,"Believe","Believe",18,1,1,2,2,2,2,2,0,1,1
"91",0,1,5,5.791,4,2,4,2,0,0,0,2,"The reward (in euro) is two times the outcome of the dice roll.",18,"Do not believe","Strongly believe",18,1,1,2,1,2,4,4,1,1,0
"93",0,1,1,6.136,1,1,4,4,4,4,4,1,"The reward (in euro) is two times the outcome of the dice roll.",5,"Strongly believe","Believe",19,1,1,2,1,1,4,4,0,0,2
"94",0,1,2,4.916,1,4,1,4,2,2,2,2,"The reward (in euro) is equal to the outcome of the dice roll.",57,"Strongly do not believe","Do not believe",20,1,1,2,2,2,4,1,1,2,1
"95",1,0,5,9.415,2,2,1,2,1,2,1,2,"The reward (in euro) is two times the outcome of the dice roll.",10,"Strongly believe","Neutral",35,1,1,3,2,2,2,1,1,1,1
"96",0,1,4,3.501,2,2,2,2,1,4,2,2,"The reward (in euro) is two times the outcome of the dice roll.",50,"Believe","Believe",20,1,1,5,4,2,2,1,2,2,1
"97",1,0,2,10.269,4,4,2,2,1,1,1,2,"The reward (in euro) is two times the outcome of the dice roll.",0,"Believe","Do not believe",18,1,1,2,2,2,2,1,1,1,0
"98",0,1,3,4.17,2,4,2,1,1,1,2,2,"The reward (in euro) is two times the outcome of the dice roll.",10,"Do not believe","Neutral",19,1,1,2,4,4,4,2,2,1,1
"99",0,0,6,9.13,2,2,2,2,0,1,1,2,"The reward (in euro) is two times the outcome of the dice roll.",33,"Believe","Neutral",19,1,1,5,2,1,4,2,0,1,1
"100",0,1,2,3.775,2,0,2,1,0,1,1,1,"The reward (in euro) is two times the outcome of the dice roll.",1,"Do not believe","Do not believe",23,1,1,2,2,1,1,1,0,1,1
"101",0,0,4,7.752,2,2,0,2,0,1,1,2,"The reward (in euro) is two times the outcome of the dice roll.",1,"Strongly believe","Believe",19,1,1,2,2,2,4,2,1,1,0
"102",0,0,1,5.427,2,2,4,4,1,2,1,1,"The reward (in euro) is two times the outcome of the dice roll.",50,"Strongly believe","Do not believe",19,1,1,2,2,2,4,1,0,0,1
"103",1,1,2,6.613,4,4,2,1,1,1,1,1,"The reward (in euro) is two times the outcome of the dice roll.",15,"Strongly believe","Believe",20,1,1,2,2,2,4,2,2,2,1
"105",0,1,5,3.761,2,4,1,4,0,0,0,2,"The reward (in euro) is two times the outcome of the dice roll.",9,"Strongly believe","Strongly believe",20,1,1,2,2,2,4,1,0,0,1
"106",0,1,4,4.204,4,4,2,1,0,0,0,2,"The reward (in euro) is two times the outcome of the dice roll.",1,"Strongly believe","Neutral",18,1,1,2,4,4,4,1,0,0,0
"107",0,1,3,5.172,1,1,4,2,2,2,1,1,"The reward (in euro) is two times the outcome of the dice roll.",5,"Strongly believe","Believe",19,1,1,2,0,0,0,4,1,1,2
"108",0,0,3,13.662,2,2,4,4,1,1,2,4,"The reward (in euro) is two times the outcome of the dice roll.",30,"Believe","Believe",18,1,1,2,1,2,4,4,1,0,1
"109",0,0,2,7.141,2,2,2,2,1,2,2,2,"The reward (in euro) is two times the outcome of the dice roll.",17,"Strongly believe","Strongly do not believe",20,1,1,3,2,1,4,2,0,0,1
"110",0,0,5,6.825,2,4,2,4,0,0,0,2,"The reward (in euro) is two times the outcome of the dice roll.",20,"Do not believe","Neutral",18,1,1,2,2,2,4,1,0,1,0
"111",0,1,5,5.184,2,2,4,2,2,4,2,1,"The reward (in euro) is two times the outcome of the dice roll.",1,"Strongly believe","Believe",19,1,1,2,2,0,2,4,1,2,1
"112",0,1,3,7.538,2,2,0,4,0,0,0,2,"The reward (in euro) is two times the outcome of the dice roll.",50,"Do not believe","Believe",20,1,1,9,2,2,2,0,0,0,1
"113",0,0,6,6.583,2,2,4,2,1,0,2,2,"The reward (in euro) is two times the outcome of the dice roll.",17,"Strongly believe","Do not believe",18,1,1,2,2,1,2,2,1,1,1
"114",0,1,5,3.407,2,4,2,4,0,1,0,4,"The reward (in euro) is two times the outcome of the dice roll.",60,"Strongly believe","Believe",18,1,1,2,2,2,2,1,1,0,1
"117",1,1,6,5.378,2,1,2,1,0,2,0,2,"The reward (in euro) is two times the outcome of the dice roll.",10,"Strongly believe","Believe",18,1,1,3,1,1,1,4,2,2,0
"118",1,1,4,4.202,4,4,1,4,0,0,0,4,"The reward (in euro) is two times the outcome of the dice roll.",0,"Strongly believe","Strongly do not believe",19,1,1,2,4,4,4,2,0,0,0
"119",0,1,6,4.195,1,0,2,2,1,4,4,1,"The reward (in euro) is equal to the outcome of the dice roll.",1,"Do not believe","Strongly do not believe",21,1,1,2,1,1,2,1,2,4,4
"120",0,1,4,3.82,2,2,2,0,2,0,2,2,"The reward (in euro) is two times the outcome of the dice roll.",6,"Believe","Believe",18,1,1,2,1,1,4,2,0,0,1
"121",0,0,6,11.643,2,4,2,1,2,1,1,2,"The reward (in euro) is two times the outcome of the dice roll.",11,"Believe","Do not believe",19,1,1,5,2,2,4,2,1,1,2
"122",0,0,2,8.44,2,4,2,1,2,1,2,1,"The reward (in euro) is two times the outcome of the dice roll.",15,"Strongly believe","Believe",19,1,1,2,2,2,2,2,2,2,0
"123",0,0,4,6.3,2,2,4,4,0,1,1,2,"The reward (in euro) is two times the outcome of the dice roll.",100,"Strongly believe","Strongly believe",21,1,1,5,1,2,2,2,0,1,2
"124",1,1,1,3.899,2,4,4,0,1,1,1,2,"The reward (in euro) is two times the outcome of the dice roll.",100,"Strongly believe","Believe",18,1,1,2,1,4,2,2,1,2,0
"125",1,0,6,21.811,1,1,1,2,1,2,2,0,"The reward (in euro) is two times the outcome of the dice roll.",1,"Believe","Do not believe",19,1,1,5,1,1,1,1,0,2,1
"126",0,1,2,7.478,2,2,2,2,2,2,2,2,"The reward (in euro) is two times the outcome of the dice roll.",16,"Believe","Neutral",18,1,1,2,2,2,4,2,1,1,1
"127",0,1,4,5.895,2,4,2,1,0,2,1,2,"The reward (in euro) is two times the outcome of the dice roll.",50,"Strongly believe","Do not believe",18,1,1,2,2,1,4,2,1,1,1
"129",0,1,3,4.195,4,4,1,2,0,1,1,2,"The reward (in euro) is two times the outcome of the dice roll.",20,"Strongly believe","Believe",18,1,1,2,2,2,4,1,1,1,1
"130",0,0,6,10.027,2,1,1,4,2,0,0,2,"The reward (in euro) is two times the outcome of the dice roll.",64,"Strongly believe","Believe",19,1,1,2,1,2,2,1,1,0,0
"131",0,1,3,5.387,4,4,1,1,0,2,0,2,"The reward (in euro) is two times the outcome of the dice roll.",13,"Believe","Do not believe",18,1,1,3,2,2,4,2,0,1,0
"132",0,1,3,6.586,2,4,2,1,2,0,0,1,"The reward (in euro) is two times the outcome of the dice roll.",1,"Strongly believe","Do not believe",20,1,1,2,1,1,4,1,2,2,0
"133",0,1,6,5.81,2,4,4,1,1,2,1,1,"The reward (in euro) is two times the outcome of the dice roll.",5,"Neutral","Do not believe",20,1,1,2,2,2,2,4,4,1,4
"134",1,0,5,7.003,2,2,2,2,1,1,0,2,"The reward (in euro) is two times the outcome of the dice roll.",10,"Strongly believe","Do not believe",19,1,1,2,2,1,2,2,0,1,2
"136",0,0,6,5.495,4,4,2,4,0,0,0,4,"The reward (in euro) is two times the outcome of the dice roll.",1,"Strongly believe","Believe",19,1,1,2,2,4,4,2,0,0,0
"137",0,0,2,11.208,2,2,2,2,0,2,1,2,"The reward (in euro) is two times the outcome of the dice roll.",5,"Believe","Neutral",20,1,1,2,2,2,4,2,0,0,0
"138",0,0,2,8.318,4,2,4,1,1,1,1,2,"The reward (in euro) is four times the outcome of the dice roll.",15,"Believe","Do not believe",18,1,1,2,4,2,2,4,2,1,1
"139",1,1,3,5.444,4,4,2,1,2,2,2,2,"The reward (in euro) is two times the outcome of the dice roll.",9,"Strongly believe","Believe",19,1,1,9,2,2,4,2,1,1,1
"140",1,1,4,4.027,4,4,1,4,0,0,0,2,"The reward (in euro) is two times the outcome of the dice roll.",10,"Strongly believe","Neutral",21,1,1,3,4,2,2,1,0,0,0
"141",0,0,2,6.254,2,2,2,4,0,2,0,2,"The reward (in euro) is two times the outcome of the dice roll.",3,"Strongly believe","Do not believe",20,1,1,2,0,2,4,1,0,0,0
"142",0,0,1,7.537,2,4,2,2,1,0,1,2,"The reward (in euro) is half of the outcome of the dice roll.",10,"Believe","Neutral",18,1,1,2,2,2,4,2,1,2,2
"144",1,1,5,6.221,2,4,2,4,0,1,1,2,"The reward (in euro) is two times the outcome of the dice roll.",2,"Strongly believe","Believe",21,1,1,2,1,2,2,1,0,1,1
"145",0,1,3,5.785,2,4,2,2,0,1,2,4,"The reward (in euro) is two times the outcome of the dice roll.",5,"Believe","Neutral",19,1,1,5,4,4,4,1,0,0,0
"146",0,0,6,7.685,2,4,4,2,2,2,1,2,"The reward (in euro) is two times the outcome of the dice roll.",30,"Believe","Neutral",19,1,1,2,4,4,4,4,1,2,0
"147",0,0,6,4.929,4,2,4,4,0,1,0,2,"The reward (in euro) is two times the outcome of the dice roll.",10,"Strongly believe","Neutral",17,1,1,2,2,2,2,2,0,0,1
"148",0,0,4,5.517,2,2,2,4,0,0,0,4,"The reward (in euro) is two times the outcome of the dice roll.",10,"Strongly believe","Believe",25,1,1,5,1,1,2,2,0,0,0
"149",0,1,5,3.65,2,1,2,4,0,0,0,2,"The reward (in euro) is two times the outcome of the dice roll.",6,"Believe","Neutral",18,1,1,2,2,2,1,1,1,1,0
"150",1,1,6,2.191,4,2,2,4,0,1,0,4,"The reward (in euro) is two times the outcome of the dice roll.",23,"Believe","Strongly do not believe",18,NA,NA,4,2,4,4,2,0,0,1
"151",1,1,2,5.646,4,2,1,4,1,2,1,2,"The reward (in euro) is two times the outcome of the dice roll.",69,"Strongly believe","Believe",24,NA,NA,2,2,1,4,1,1,0,1
"152",1,1,2,4.081,4,4,2,2,0,1,0,4,"The reward (in euro) is two times the outcome of the dice roll.",16,"Strongly believe","Do not believe",18,NA,NA,2,4,4,4,1,1,0,0
"153",0,0,6,12.052,1,1,4,2,1,2,1,2,"The reward (in euro) is two times the outcome of the dice roll.",0,"Strongly believe","Strongly do not believe",20,NA,NA,2,1,1,1,2,0,2,1
"154",0,0,2,9.185,2,0,0,4,0,0,0,1,"The reward (in euro) is two times the outcome of the dice roll.",5,"Strongly believe","Neutral",21,NA,NA,3,1,1,0,1,0,0,0
"157",0,0,4,10.104,1,1,1,1,1,2,1,1,"The reward (in euro) is two times the outcome of the dice roll.",10,"Strongly believe","Strongly do not believe",21,NA,NA,2,0,1,2,2,2,1,0
"158",0,0,2,5.612,1,0,1,1,2,2,2,1,"The reward (in euro) is two times the outcome of the dice roll.",2,"Neutral","Believe",20,1,1,2,0,1,2,2,0,2,0
"159",1,1,1,4.906,4,4,2,4,0,0,0,4,"The reward (in euro) is two times the outcome of the dice roll.",1,"Strongly believe","Strongly do not believe",24,NA,NA,5,4,2,4,4,1,0,0
"160",1,0,4,7.697,1,0,2,4,0,1,1,0,"The reward (in euro) is two times the outcome of the dice roll.",5,"Strongly believe","Strongly believe",20,NA,NA,2,1,1,0,4,0,0,0
"161",1,1,6,4.043,2,0,4,2,2,4,1,1,"The reward (in euro) is two times the outcome of the dice roll.",10,"Strongly believe","Do not believe",20,NA,NA,2,1,1,1,2,1,1,2
"162",0,1,6,4.598,2,1,4,2,1,1,0,2,"The reward (in euro) is two times the outcome of the dice roll.",5,"Strongly believe","Believe",19,NA,NA,2,1,1,2,2,0,0,1
